time,Cortex,CloudTS
126,0.15436,0.09528
127,0.17081,0.126
128,0.14801,0.09523
129,0.1634,0.09975
130,0.16596,0.11204
131,0.15199,0.11199
132,0.14452,0.10971
133,0.14106,0.09415
134,0.16565,0.11186
135,0.16347,0.11196
136,0.14981,0.09264
137,0.16376,0.12259
138,0.15896,0.10383
139,0.14798,0.09358
140,0.15654,0.09525
141,0.15099,0.11863
142,0.14187,0.13955
143,0.16437,0.0937
144,0.15633,0.09426
145,0.15995,0.11051
146,0.15078,0.11928
147,0.16311,0.1241
148,0.16568,0.11976
149,0.1445,0.10268
150,0.16238,0.1076
151,0.15122,0.11009
152,0.15335,0.13906
153,0.15768,0.10118
154,0.15395,0.11017
155,0.15005,0.10698
156,0.15792,0.1198
157,0.15775,0.12486
158,0.14966,0.09457
159,0.15147,0.09387
160,0.1726,0.10452
161,0.15239,0.11246
162,0.16082,0.12336
163,0.1524,0.10176
164,0.15816,0.10358
165,0.16746,0.13004
166,0.15526,0.10428
167,0.1703,0.13771
168,0.15794,0.104
169,0.14636,0.09956
170,0.15516,0.11291
171,0.14966,0.10342
172,0.1601,0.13322
173,0.16685,0.0991
174,0.16212,0.11825
175,0.15257,0.10443
176,0.14993,0.10855
177,0.16069,0.12627
178,0.15394,0.10884
179,0.14598,0.09723
180,0.15689,0.09621
181,0.15389,0.11147
182,0.14678,0.09014
183,0.16458,0.0942
184,0.15721,0.09141
185,0.16876,0.09822
186,0.15999,0.11566
187,0.16302,0.13923
188,0.14454,0.103
189,0.14993,0.09478
190,0.14732,0.11953
191,0.16062,0.11432
192,0.14438,0.12625
193,0.16167,0.09931
194,0.15692,0.11871
195,0.15254,0.11879
196,0.14259,0.11757
197,0.16105,0.1256
198,0.1701,0.12077
199,0.1517,0.09601
200,0.15905,0.10467
201,0.16047,0.1191
202,0.14131,0.09622
203,0.15396,0.09715
204,0.15141,0.10169
205,0.16519,0.10292
206,0.14365,0.0943
207,0.15525,0.09987
208,0.14866,0.09758
209,0.14278,0.09525
210,0.14613,0.11177
211,0.15792,0.10263
212,0.14597,0.12047
213,0.1568,0.09927
214,0.15774,0.09342
215,0.15692,0.11378
216,0.15213,0.12137
217,0.15608,0.10588
218,0.1488,0.10516
219,0.14633,0.10047
220,0.17602,0.1259
221,0.15499,0.11682
222,0.1603,0.10264
223,0.14222,0.0971
224,0.15373,0.09638
225,0.15888,0.10774
226,0.14133,0.11782
227,0.16089,0.09593
228,0.14189,0.10053
229,0.14923,0.09307
230,0.16739,0.09591
231,0.15106,0.10904
232,0.14637,0.11292
233,0.16071,0.10048
234,0.1609,0.11232
235,0.15213,0.11568
236,0.15801,0.11539
237,0.16739,0.10198
238,0.1429,0.12083
239,0.15687,0.09209
240,0.14845,0.12751
